averageHeight,averageSmall,mastHeight,masterSmall,averageAir,mastAir,lostAir,date,weekDay,mastHeightDay,mastSmallDay,wearther,wind,windOrder,city
3,-7,14,-14,105,0,211,2023-01-01,星期日,4,-7,多云,西北风,1,北京
3,-7,14,-14,105,0,211,2023-01-02,星期一,3,-8,多云,东风,1,北京
3,-7,14,-14,105,0,211,2023-01-03,星期二,3,-8,多云,东北风,1,北京
3,-7,14,-14,105,0,211,2023-01-04,星期三,5,-8,晴,东北风,1,北京
3,-7,14,-14,105,0,211,2023-01-05,星期四,4,-6,多云,西南风,1,北京
3,-7,14,-14,105,0,211,2023-01-06,星期五,9,-7,多云,东北风,1,北京
3,-7,14,-14,105,0,211,2023-01-07,星期六,7,-6,多云,南风,1,北京
3,-7,14,-14,105,0,211,2023-01-08,星期日,12,-5,晴,西南风,3,北京
3,-7,14,-14,105,0,211,2023-01-09,星期一,8,-6,多云,西风,5,北京
3,-7,14,-14,105,0,211,2023-01-10,星期二,7,-6,晴,东南风,4,北京
6,-3,14,-8,105,12,199,2023-02-01,星期三,4,-8,多云,东北风,2,北京
6,-3,14,-8,105,12,199,2023-02-02,星期四,2,-7,多云,东北风,1,北京
6,-3,14,-8,105,12,199,2023-02-03,星期五,5,-5,多云,东风,1,北京
6,-3,14,-8,105,12,199,2023-02-04,星期六,9,-6,晴,南风,2,北京
6,-3,14,-8,105,12,199,2023-02-05,星期日,6,-4,多云,东北风,1,北京
6,-3,14,-8,105,12,199,2023-02-06,星期一,8,-5,多云,东南风,2,北京
6,-3,14,-8,105,12,199,2023-02-07,星期二,6,-5,晴,东北风,1,北京
6,-3,14,-8,105,12,199,2023-02-08,星期三,7,-2,多云,南风,2,北京
6,-3,14,-8,105,12,199,2023-02-09,星期四,1,-5,多云,北风,2,北京
6,-3,14,-8,105,12,199,2023-02-10,星期五,3,-3,多云,北风,2,北京
16,3,27,-3,181,24,338,2023-03-01,星期三,10,-3,晴,东北风,2,北京
16,3,27,-3,181,24,338,2023-03-02,星期四,14,0,晴,西北风,2,北京
16,3,27,-3,181,24,338,2023-03-03,星期五,20,0,晴,东北风,1,北京
16,3,27,-3,181,24,338,2023-03-04,星期六,16,0,多云~晴,北风,1,北京
16,3,27,-3,181,24,338,2023-03-05,星期日,11,2,多云~晴,北风,1,北京
16,3,27,-3,181,24,338,2023-03-06,星期一,23,3,多云~晴,西南风,1,北京
16,3,27,-3,181,24,338,2023-03-07,星期二,21,7,多云,东北风,1,北京
16,3,27,-3,181,24,338,2023-03-08,星期三,19,2,多云~晴,东南风,2,北京
16,3,27,-3,181,24,338,2023-03-09,星期四,19,6,多云~晴,东北风,1,北京
16,3,27,-3,181,24,338,2023-03-10,星期五,27,8,多云,北风,3,北京
19,9,28,4,257,30,484,2023-04-01,星期六,22,12,多云,西南风,3,北京
19,9,28,4,257,30,484,2023-04-02,星期日,20,13,多云~阴,西南风,2,北京
